Date,Level
2010.1.1,57
2010.2.1,49
2010.3.1,64
2010.4.1,51
2010.5.1,59
2010.6.1,52
2010.7.1,36
2010.8.1,36
2010.9.1,32
2010.10.1,45
2010.11.1,73
2010.12.1,63
2011.1.1,45
2011.2.1,72
2011.3.1,65
2011.4.1,59
2011.5.1,75
2011.6.1,49
2011.7.1,34
2011.8.1,32
2011.9.1,33
2011.10.1,46
2011.11.1,46
2011.12.1,50
2012.1.1,57
2012.2.1,51
2012.3.1,51
2012.4.1,54
2012.5.1,58
2012.6.1,41
2012.7.1,33
2012.8.1,27
2012.9.1,33
2012.10.1,40
2012.11.1,48
2012.12.1,43
2013.1.1,64
2013.2.1,49
2013.3.1,62
2013.4.1,54
2013.5.1,60
2013.6.1,46
2013.7.1,38
2013.8.1,40
2013.9.1,33
2013.10.1,36
2013.11.1,46
2013.12.1,54
2014.1.1,62
2014.2.1,57
2014.3.1,58
2014.4.1,58
2014.5.1,67
2014.6.1,45
2014.7.1,41
2014.8.1,32
2014.9.1,34
2014.10.1,38
2014.11.1,47
2014.12.1,44
2015.1.1,52
2015.2.1,75
2015.3.1,68
2015.4.1,47
2015.5.1,50
2015.6.1,43
2015.7.1,34
2015.8.1,37
2015.9.1,30
2015.10.1,48
2015.11.1,36
2015.12.1,50
2016.1.1,50
2016.2.1,47
2016.3.1,60
2016.4.1,67
2016.5.1,54
2016.6.1,42
2016.7.1,30
2016.8.1,34
2016.9.1,37
2016.10.1,39
2016.11.1,53
2016.12.1,48
2017.1.1,56
2017.2.1,55
2017.3.1,47
2017.4.1,44
2017.5.1,64
2017.6.1,55
2017.7.1,35
2017.8.1,24
2017.9.1,37
2017.10.1,42
2017.11.1,38
2017.12.1,61
2018.1.1,50
2018.2.1,56
2018.3.1,59
2018.4.1,53
2018.5.1,57
2018.6.1,42
2018.7.1,28
2018.8.1,30
2018.9.1,29
2018.10.1,33
