time,avgTa,minTa,maxTa,maxInsWs,maxWs,avgWs,avgTs,minRhm,avgRhm,ddMes,sumRn,holiday,winter,spring,summer,fall,sal_dis,sal_price,sal_sales
2022-08-01,28.6,25.4,32.4,9.3,4.6,2.4,28.9,67,82.4,0,30,0,0,0,1,0,0.01,13900,40
2022-08-02,26.8,25.5,28.5,10.1,4.9,2.8,27.2,78,90,0,33.5,0,0,0,1,0,0.12,13900,204
2022-08-03,27.1,25.2,30,10.8,4.6,2.8,27.4,76,90.1,0,51.1,0,0,0,1,0,0.12,13900,205
2022-08-04,28.9,26,32.9,7.5,4,2.5,31.6,64,79.3,0,0,0,0,0,1,0,0.24,13900,296
2022-08-05,29.4,27,32.7,9.2,5.2,2.6,32.6,61,76.6,0,0,0,0,0,1,0,0.25,13900,349
2022-08-06,28.7,27.4,30.3,5.2,3.3,1.7,29.7,77,85.3,0,13.6,1,0,0,1,0,0.25,13900,347
2022-08-07,28.9,27.2,31.7,9.8,5.6,2.4,28.6,70,82.1,0,0.9,1,0,0,1,0,0.25,13900,298
2022-08-08,26.8,25,28.4,24.9,8.6,3.3,26.4,83,91.6,0,129.6,0,0,0,1,0,0.25,13900,395
2022-08-09,25.1,22,26.5,12.3,5.7,2.6,26,94,96,0,123.1,0,0,0,1,0,0.25,13900,396
2022-08-10,24.7,21.4,28.8,6.3,4.5,1.6,27.3,66,85.3,0,7.6,0,0,0,1,0,0.25,13900,397
2022-08-11,25,23.4,27.5,4.9,3.1,1.6,27.6,75,87.9,0,38.8,0,0,0,1,0,0.16,13900,215
2022-08-12,27,23,32.4,6.1,3.7,1.7,28.7,44,73.8,0,0,0,0,0,1,0,0.12,13900,157
2022-08-13,25.8,24.7,27.5,5.6,2.7,1.3,25.8,71,82.8,0,4,1,0,0,1,0,0.12,13900,109
2022-08-14,27.6,24.5,31.5,6.3,4,1.9,28.1,66,83,0,3,1,0,0,1,0,0.12,13900,172
